,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
4291705,cisco,cisco.com,1984,computer networking,10001+,"san jose, california, united states",united states,linkedin.com/company/cisco,61803,139423
5654137,general motors,gm.com,1955,automotive,10001+,"detroit, michigan, united states",united states,linkedin.com/company/general-motors,61638,128429
7076008,pepsico,pepsico.com,1965,food & beverages,10001+,"purchase, new york, united states",united states,linkedin.com/company/pepsico,61040,146820
1470821,target,target.com,1962,retail,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/target,60602,204360
2945894,shell,shell.com,1833,oil & energy,10001+,"the hague, zuid-holland, netherlands",netherlands,linkedin.com/company/shell,60324,147906
4296553,hcl technologies,hcltech.com,1991,information technology and services,10001+,"noida, uttar pradesh, india",india,linkedin.com/company/hcl-technologies,59993,127468
1752210,ups,ups.com,1907,transportation/trucking/railroad,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/ups,59712,132381
6001034,pfizer,pfizer.com,1848,pharmaceuticals,10001+,"new york, new york, united states",united states,linkedin.com/company/pfizer,59588,176364
3844400,unilever,unilever.com,1872,consumer goods,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/unilever,58819,168219
1104865,nestlé,nestle.com,1866,food & beverages,10001+,"vevey, vaud, switzerland",switzerland,linkedin.com/company/nestle-s-a-,58538,139821
